	new	mag	tv	rad	cin	otr
bel	35,3	20,5	27,5	1,2	1,4	14,2
dk	76,1	11,8	9,6	0,8	0,4	1,3
fr	28,6	27,5	24,8	6,6	0,8	11,7
al	46	27,9	15,8	5,1	1,2	3,9
gr	26	28,2	35,3	5,7	0	4,8
ir	63,7	5,4	19,6	6,2	0	5,1
it	27,8	24	43,02	1,4	0	3,6
ne	50,4	27,8	9	2,2	0,3	10,4
por	25,1	21,7	37,1	6,7	0	9,5
esp	37,6	15,4	31,3	10,3	0,8	4,7
uk	44,1	19,3	30,5	2,2	0,5	3,4
aut	51,6	18	17,7	8	0,4	4,4
fin	67,2	13,5	12,9	4	0,1	2,3
nor	77,2	15,8	2,5	1	1,2	2,2
sue	78,6	14,3	2,2	0	0,6	4,3
sui	61,1	16,8	6,7	1,7	0,9	12,7
